REF_AREA,Reference area,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status
MLT,Malta,2022,9.815,no,not applicable
IND,India,2015,3.596,no,not applicable
IND,India,2021,3.282,no,not applicable
ITA,Italy,2023,8.447,P,Provisional value
CHN,China,2015,4.961,no,not applicable
CHN,China,2017,5.047,no,not applicable
CHN,China,2016,4.977,no,not applicable
CHN,China,2021,5.365,no,not applicable
CHN,China,2020,5.66,no,not applicable
CHN,China,2019,5.373,no,not applicable
IND,India,2018,2.86,no,not applicable
HRV,Croatia,2017,6.643,no,not applicable
TUR,Turkey,2016,4.285,no,not applicable
ISR,Israel,2017,7.196,no,not applicable
ISR,Israel,2016,7.121,no,not applicable
JPN,Japan,2016,10.659,no,not applicable
JPN,Japan,2015,10.75,no,not applicable
JPN,Japan,2023,11.087,E,Estimated value
JPN,Japan,2022,11.422,P,Provisional value
JPN,Japan,2021,11.19,no,not applicable
JPN,Japan,2020,11.209,no,not applicable
JPN,Japan,2019,10.97,no,not applicable
JPN,Japan,2018,10.74,no,not applicable
JPN,Japan,2017,10.656,no,not applicable
EST,Estonia,2017,6.597,no,not applicable
EST,Estonia,2016,6.702,no,not applicable
EST,Estonia,2015,6.641,no,not applicable
EST,Estonia,2023,7.559,P,Provisional value
EST,Estonia,2022,7.02,no,not applicable
EST,Estonia,2021,7.545,no,not applicable
EST,Estonia,2020,7.589,no,not applicable
EST,Estonia,2019,6.772,no,not applicable
IND,India,2020,2.955,no,not applicable
IND,India,2019,2.904,no,not applicable
ESP,Spain,2020,10.732,no,not applicable
ESP,Spain,2019,9.135,no,not applicable
LUX,Luxembourg,2017,5.135,no,not applicable
LUX,Luxembourg,2016,5.071,no,not applicable
LUX,Luxembourg,2015,5.081,no,not applicable
LUX,Luxembourg,2023,5.783,P,Provisional value
LUX,Luxembourg,2022,5.552,no,not applicable
LUX,Luxembourg,2021,5.661,no,not applicable
LUX,Luxembourg,2020,5.765,no,not applicable
LUX,Luxembourg,2019,5.465,no,not applicable
LUX,Luxembourg,2018,5.28,no,not applicable
IDN,Indonesia,2018,2.868,no,not applicable
IDN,Indonesia,2017,2.904,no,not applicable
IDN,Indonesia,2016,3.021,no,not applicable
IDN,Indonesia,2015,2.924,no,not applicable
IDN,Indonesia,2021,3.706,no,not applicable
IDN,Indonesia,2020,3.413,no,not applicable
IDN,Indonesia,2019,2.905,no,not applicable
AUT,Austria,2018,10.349,no,not applicable
AUT,Austria,2017,10.384,no,not applicable
AUT,Austria,2016,10.352,no,not applicable
AUT,Austria,2015,10.368,no,not applicable
AUT,Austria,2022,11.157,no,not applicable
AUT,Austria,2023,10.954,P,Provisional value
AUT,Austria,2021,12.152,no,not applicable
AUT,Austria,2020,11.316,no,not applicable
AUT,Austria,2019,10.488,no,not applicable
SVK,Slovak Republic,2017,6.757,no,not applicable
SVK,Slovak Republic,2016,6.973,no,not applicable
SVK,Slovak Republic,2015,6.762,no,not applicable
SVK,Slovak Republic,2023,8.634,E,Estimated value
SVK,Slovak Republic,2022,7.722,no,not applicable
SVK,Slovak Republic,2021,7.757,no,not applicable
SVK,Slovak Republic,2020,7.126,no,not applicable
SVK,Slovak Republic,2019,6.92,no,not applicable
SVK,Slovak Republic,2018,6.666,no,not applicable
ISR,Israel,2015,7.038,no,not applicable
ISR,Israel,2023,7.626,E,Estimated value
ISR,Israel,2020,7.73,P,Provisional value
ISR,Israel,2022,7.324,D,Definition differs
ISR,Israel,2021,7.653,no,not applicable
IND,India,2017,2.936,no,not applicable
IND,India,2016,3.504,no,not applicable
NZL,New Zealand,2019,9.072,E,Estimated value
NZL,New Zealand,2023,10.99,E,Estimated value
NZL,New Zealand,2018,9.038,P,Provisional value
NZL,New Zealand,2017,8.97,P,Provisional value
NZL,New Zealand,2016,9.244,P,Provisional value
NZL,New Zealand,2015,9.283,P,Provisional value
NZL,New Zealand,2022,11.322,E,Estimated value
SWE,Sweden,2017,10.785,no,not applicable
SWE,Sweden,2016,10.852,no,not applicable
SWE,Sweden,2015,10.804,no,not applicable
SWE,Sweden,2023,10.911,P,Provisional value
